# BRAVADA CLUB CHAIR 34 x 34 — METAL BOM, WORKED EXAMPLE
# PROPOSED 2026-09-09 - NOT ADOPTED. Numbered per 01_COMPANY/PART_NUMBERING.md (PROPOSED).
#
# QTY IS ALWAYS PER ONE PARENT, the Katana convention. ASM-BRV-ARM is qty 2 on the chair and
# each of its child lines is qty 1 - meaning 1 per arm, 2 per chair. Multiply through when rolling up.
#
# ARM IS NOT HANDED and is the same weldment across the whole Bravada collection
# (Factory Manager, 2026-09-09). One part number, used twice. No -L / -R.
#
# QTY is READ OFF A SCREENSHOT of the SketchUp model, not off the model itself.
# Verify with SketchUp File > Generate Report before this is used for anything.
# LENGTHS ARE AS THE MODEL STATES THEM. See PART_NUMBERING.md section 8 item 1 -
# the model appears to mix long-point and short-point dimensioning. NOT corrected here.
LEVEL,PARENT,PART_NUMBER,ROLE_ON_THIS_LINE,QTY_PER_PARENT,UOM,PROFILE,LENGTH_IN,END_A,END_B,REL,STOCK_FT_EACH,SOURCE_NAME_IN_MODEL,QTY_CONFIDENCE
L3,,BRV-CLB-034034,BRAVADA CLUB CHAIR 34x34 - BASE PRODUCT,1,EA,,,,,,,,
L2,BRV-CLB-034034,ASM-BRV-SEAT-034x034,SEAT FRAME ASSEMBLY,1,EA,,,,,,,BRAVADA CLUB CHAIR SEAT,STATED
L2,BRV-CLB-034034,ASM-BRV-ARM,ARM ASSEMBLY - NOT HANDED - SHARED ACROSS COLLECTION,2,EA,,,,,,,BRAVADA CLUB CHAIR ARM,RULED 2026-09-09
L2,BRV-CLB-034034,ASM-BRV-BACK-034,BACK ASSEMBLY 34in,1,EA,,,,,,,BRAVADA CLUB CHAIR BACK,STATED
L1,ASM-BRV-SEAT-034x034,CUT-SQ2-16-034.0-4545C,SEAT FRAME RAIL,4,EA,SQ2-16,34.0,45,45,C,2.83,BRAVADA SEAT FRAME 2X2 16 GA 34 45 45,INFERRED - 4 sides mitred square
L1,ASM-BRV-SEAT-034x034,CUT-SQ2-16-008.0-9090,LEG,4,EA,SQ2-16,8.0,90,90,,0.67,BRAVADA LEG 2X2 16 GA 8,INFERRED - 4 legs visible
L1,ASM-BRV-SEAT-034x034,CUT-RT1.5x0.75-16-030.0-9090,SEAT SLAT,4,EA,RT1.5x0.75-16,30.0,90,90,,2.50,BRAVADA MIDDLE FRAME 1.5X.75 16 GA 30,INFERRED FROM IMAGE - COUNT IT
L1,ASM-BRV-SEAT-034x034,CUT-FB0.125x1.5-030.0-9090,SEAT CROSS BRACE,2,EA,FB0.125x1.5,30.0,90,90,,2.50,BRAVADA FLAT BAR HR FLAT 1/8 30 90 90,INFERRED FROM IMAGE - WIDTH ALSO ASSUMED
L1,ASM-BRV-ARM,CUT-SQ2-16-032.0-4590,ARM TOP RAIL,1,EA,SQ2-16,32.0,45,90,,2.67,BRAVADA ARM TOP 2X2 16 GA 32 45 90,INFERRED - 1 per arm
L1,ASM-BRV-ARM,CUT-SQ2-16-014.0-9090,ARM FRONT POST,1,EA,SQ2-16,14.0,90,90,,1.17,BRAVADA ARM VERTICAL 2X2 16 GA 14 90 90,INFERRED - 1 per arm
L1,ASM-BRV-BACK-034,CUT-SQ2-16-019.0-9045,BACK POST,2,EA,SQ2-16,19.0,90,45,,1.58,BRAVADA BACK SIDE 2X2 16 GA 19 90 45,INFERRED - 2 posts
L1,ASM-BRV-BACK-034,CUT-SQ2-16-030.0-4545C,BACK TOP RAIL,1,EA,SQ2-16,30.0,45,45,C,2.50,BRAVADA BACK TOP 2X2 16 GA 30 45 45,INFERRED - 1 rail
L1,ASM-BRV-BACK-034,CUT-SQ2-16-030.0-9090,BACK MID RAIL,1,EA,SQ2-16,30.0,90,90,,2.50,BRAVADA BACK CENTER 2X2 16GA 30 90 90,INFERRED - 1 rail
