Collection,Original Name,Canonical FIN- SKU,Length,Depth,Height,Base MSRP,Base Weight
Bravada,"BRAVADA CLUB CHAIR 34"" x 34"" x 31"" BH",FIN-BRV-CLB-CHA-34X34,34,34,31,"$2,080.00",
Bravada,"BRAVADA SWIVEL CHAIR 34"" x 34"" x 31"" BH",FIN-BRV-SWV-CHA-34X34,34,34,31,"$2,580.00",
Bravada,"BRAVADA LOVESEAT 60"" x 34"" x 31"" BH",FIN-BRV-LOV-SOF-60X34,60,34,31,"$2,750.00",
Bravada,"BRAVADA MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,48,34,31,"$2,520.00",
Bravada,"BRAVADA SOFA 72"" x 34"" x 31"" BH",FIN-BRV-SOF-72X34,72,34,31,"$3,360.00",
Bravada,"BRAVADA SOFA 84"" x 34"" x 31"" BH",FIN-BRV-SOF-84X34,84,34,31,"$3,840.00",
Bravada,"BRAVADA SOFA 96"" x 34"" x 31"" BH",FIN-BRV-SOF-96X34,96,34,31,"$4,080.00",
Bravada,"BRAVADA ARMLESS SOFA 72"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-72X34,72,34,31,"$2,880.00",
Bravada,"BRAVADA ARMLESS MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,48,34,31,"$2,320.00",
Bravada,"BRAVADA ARMLESS SOFA 72"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-72X34,72,34,31,"$2,880.00",
Bravada,"BRAVADA ARMLESS SOFA 84"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-84X34,84,34,31,"$3,840.00",
Bravada,"BRAVADA ARMLESS SOFA 96"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-96X34,96,34,31,"$4,080.00",
Bravada,"BRAVADA CORNER SOFA 72"" x 34"" x 31"" BH",FIN-BRV-COR-SOF-72X34,72,34,31,"$3,750.00",
Bravada,"BRAVADA CORNER SOFA 84"" x 34"" x 31"" BH",FIN-BRV-COR-SOF-84X34,84,34,31,"$3,950.00",
Bravada,"BRAVADA CORNER SOFA 96"" x 34"" x 31"" BH",FIN-BRV-COR-SOF-96X34,96,34,31,"$4,200.00",
Bravada,"BRAVADA CORNER CHAISE 72"" x 34"" x 31"" BH",FIN-BRV-COR-CHS-72X34,72,34,31,"$3,600.00",
Bravada,"BRAVADA CORNER CHAISE 84"" x 34"" x 31"" BH",FIN-BRV-COR-CHS-84X34,84,34,31,"$3,800.00",
Bravada,"BRAVADA SINGLE CHAISE LOUNGE 30"" x 79"" x 14"" SH",FIN-BRV-SGL-CHS-30X79,30,79,14,"$2,460.00",
Bravada,"BRAVADA DOUBLE CHAISE LOUNGE 58"" x 79"" x 14"" SH",FIN-BRV-DOU-CHS-58X79,58,79,14,"$3,720.00",
Bravada,"BRAVADA ROUND DAYBED 84"" DIAMETER",FIN-BRV-DYB-84X84,84,84,,"$7,280.00",
Bravada,"BRAVADA DAYBED 72"" x 72"" x 27"" BH",FIN-BRV-DYB-72X72,72,72,27,"$6,480.00",
Bravada,"BRAVADA DAYBED 84"" x 72"" x 27"" BH",FIN-BRV-DYB-84X72,84,72,27,"$6,720.00",
Bravada,"BRAVADA DAYBED 84"" x 84"" x 27"" BH",FIN-BRV-DYB-84X84,84,84,27,"$7,080.00",
Brooklyn,"BROOKLYN SINGLE CHAISE LOUNGE 38"" x 79"" x 11"" SH",FIN-BRK-SGL-CHS-38X79,38,79,11,"$2,940.00",
Brooklyn,"BROOKLYN TRANSITIONAL DOUBLE CHAISE 48"" x 72"" x 30"" BH",FIN-BRK-TRA-DOU-CHS-48X72,48,72,30,"$4,080.00",
Brooklyn,"BROOKLYN TRANSITIONAL SINGLE CHAISE 36"" x 72"" x 30"" BH",FIN-BRK-TRA-SGL-CHS-36X72,36,72,30,"$3,720.00",
Brooklyn,"BROOKLYN DOUBLE CHAISE LOUNGE 58"" x 79"" x 11"" SH",FIN-BRK-DOU-CHS-58X79,58,79,11,"$4,200.00",
Ocean,"OCEAN CLUB CHAIR w/METAL ARM 34"" x 38"" x 33"" BH",FIN-OCN-CLB-CHA-34X38,34,38,33,"$2,280.00",
Ocean,"OCEAN SWIVEL CHAIR 34"" x 38"" x 33"" BH",FIN-OCN-SWV-CHA-34X38,34,38,33,"$2,780.00",
Ocean,"OCEAN SOFA 72"" x 38"" x 33"" BH",FIN-OCN-SOF-72X38,72,38,33,"$3,600.00",
Ocean,"OCEAN SOFA 84"" x 38"" x 33"" BH",FIN-OCN-SOF-84X38,84,38,33,"$3,960.00",
Ocean,"OCEAN SOFA 96"" x 38"" x 33"" BH",FIN-OCN-SOF-96X38,96,38,33,"$4,440.00",
Ocean,"OCEAN MINI LOVESEAT 48"" x 38"" x 33"" BH",FIN-OCN-MIN-LOV-48X38,48,38,33,"$2,540.00",
Ocean,"OCEAN LOVESEAT 60"" x 38"" x 33"" BH",FIN-OCN-LOV-SOF-60X38,60,38,33,"$3,140.00",
Ocean,"OCEAN SINGLE CHAISE LOUNGE 36"" x 79"" x 14"" SH",FIN-OCN-SGL-CHS-36X79,36,79,14,"$2,550.00",
Ocean,"OCEAN DOUBLE CHAISE LOUNGE 58"" x 79"" x 14"" SH",FIN-OCN-DOU-CHS-58X79,58,79,14,"$3,850.00",
Milan,"MILAN CLUB CHAIR 32"" x 36"" x 16"" SH",FIN-MLN-CLB-CHA-32X36,32,36,16,"$2,400.00",
Milan,"MILAN OTTOMAN 22"" x 60"" x 16""",FIN-MLN-OTT-22X60,22,60,16,"$1,280.00",
Milan,"MILAN OTTOMAN 22"" x 72"" x 16""",FIN-MLN-OTT-22X72,22,72,16,"$1,500.00",
Milan,"MILAN OTTOMAN 34"" x 60"" x 16""",FIN-MLN-OTT-34X60,34,60,16,"$1,850.00",
Milan,"MILAN OTTOMAN 56"" x 42"" x 16""",FIN-MLN-OTT-56X42,56,42,16,"$2,040.00",
Milan,"MILAN ONE-SIDED SOFA 72"" x 36"" x 16"" SH",FIN-MLN-SOF-72X36,72,36,16,"$4,030.00",
Milan,"MILAN ONE SIDED SOFA 84"" x 36"" x 16"" SH",FIN-MLN-SOF-84X36,84,36,16,"$4,400.00",
Milan,"MILAN ONE-SIDED SOFA 96"" x 36"" x 16"" SH",FIN-MLN-SOF-96X36,96,36,16,"$5,040.00",
Milan,"MILAN DOUBLE-SIDED SOFA 60"" x 62"" x 16"" SH",FIN-MLN-SOF-60X62,60,62,16,"$5,420.00",
Milan,"MILAN T-SHAPED SOFA 62"" x 42"" x 22"" x 16"" SH",FIN-MLN-SOF-62X42,62,42,22,"$5,700.00",
Ocean,"OCEAN ROUND SIDE TABLE 36"" x 17""",FIN-OCN-SID-TAB-36X17,36,17,16'',"$1,150.00",
Bravada,"BRAVADA COFFEE TABLE 28"" x 42"" x 17""",FIN-BRV-COF-TAB-28X42,28,42,17,"$2,280.00",
Bravada,"BRAVADA COFFEE TABLE 36"" x 36"" x 17""",FIN-BRV-COF-TAB-36X36,36,36,17,"$2,280.00",
Bravada,"BRAVADA COFFEE TABLE 36"" x 56"" x 17""",FIN-BRV-COF-TAB-36X56,36,56,17,"$3,000.00",
Bravada,"BRAVADA COFFEE TABLE 42"" x 42"" x 17""",FIN-BRV-COF-TAB-42X42,42,42,17,"$2,880.00",
Bravada,"BRAVADA COFFEE TABLE 42"" x 56"" x 17""",FIN-BRV-COF-TAB-42X56,42,56,17,"$3,120.00",
Bravada,"BRAVADA COFFEE TABLE 56"" x 56"" x 17""",FIN-BRV-COF-TAB-56X56,56,56,17,"$4,320.00",
Ocean,"OCEAN COFFEE TABLE 28"" x 56"" x 17""",FIN-OCN-COF-TAB-28X56,28,56,17,"$3,000.00",
Ocean,"OCEAN COFFEE TABLE 36"" x 56"" x 17""",FIN-OCN-COF-TAB-36X56,36,56,17,"$3,240.00",
Ocean,"OCEAN COFFEE TABLE 36"" x 72"" x 17""",FIN-OCN-COF-TAB-36X72,36,72,17,"$3,840.00",
Ocean,"OCEAN COFFEE TABLE 42"" x 42"" x 17""",FIN-OCN-COF-TAB-42X42,42,42,17,"$3,120.00",
Ocean,"OCEAN COFFEE TABLE 42"" x 56"" x 17""",FIN-OCN-COF-TAB-42X56,42,56,17,"$3,480.00",
Ocean,"OCEAN COFFEE TABLE 56"" x 56"" x 17""",FIN-OCN-COF-TAB-56X56,56,56,17,"$4,560.00",
Ocean,"OCEAN COFFEE TABLE 28"" x 42"" x 17""",FIN-OCN-COF-TAB-28X42,28,42,17,"$2,520.00",
Ocean,"FLY TABLE 34"" X 12""",FIN-OCN-TAB-34X12,34,12,2'',$650.00,
Ocean,"T TABLE 13"" x 30"" x 16""",FIN-OCN-TAB-13X30,13,30,16,$480.00,
Brooklyn,"STAR LEG TABLE (BAR HEIGHT) 36"" x 36"" x 42""",FIN-BRK-BAR-TAB-36X36,36,36,42,"$3,000.00",
Brooklyn,"STAR LEG TABLE (BAR HEIGHT) 42"" x 42"" x 42""",FIN-BRK-BAR-TAB-42X42,42,42,42,"$3,120.00",
Brooklyn,"STAR LEG TABLE (COUNTER HEIGHT) 36"" x 36"" x 36""",FIN-BRK-CNT-TAB-36X36,36,36,36,"$2,940.00",
Brooklyn,"STAR LEG TABLE (COUNTER HEIGHT) 42"" x 42"" x 36""",FIN-BRK-CNT-TAB-42X42,42,42,36,"$3,060.00",
Brooklyn,"STAR LEG TABLE (DINING HEIGHT) 36"" x 36"" x 30""",FIN-BRK-DIN-TAB-36X36,36,36,30,"$2,880.00",
Brooklyn,"STAR LEG TABLE (DINING HEIGHT) 42"" x 42"" x 30""",FIN-BRK-DIN-TAB-42X42,42,42,30,"$3,000.00",
Waterfall,"DINING BENCH w/NO ARMS 72"" x 22"" x 18"" SH",FIN-WFT-DIN-BCH-72X22,72,22,18,"$1,950.00",
Waterfall,"DINING BENCH w/NO ARMS 96"" x 22"" x 18"" SH",FIN-WFT-DIN-BCH-96X22,96,22,18,"$2,400.00",
Waterfall,"FLY LEG BARSTOOL (BAR HEIGHT) 18"" x 18"" x 30"" SH",FIN-WFT-FLY-BST-18X18,18,18,30,$810.00,
Waterfall,"FLY LEG BARSTOOL (COUNTER HEIGHT) 18"" x 18"" x 24"" SH",FIN-WFT-FLY-BST-18X18,18,18,24,$780.00,
Waterfall,"FLY LEG BENCH (DINING HEIGHT) 42"" x 18"" x 18"" SH",FIN-WFT-BCH-42X18,42,18,18,"$1,320.00",
Waterfall,"FLY LEG CHAIR (DINING HEIGHT) 18"" x 18"" x 18"" SH",FIN-WFT-DIN-CHA-18X18,18,18,18,$750.00,
Waterfall,"HALF BACK BARSTOOL (BAR HEIGHT) 17"" x 21"" x 30"" SH",FIN-WFT-FLY-BST-17X21,17,21,30,$830.00,
Waterfall,"HALF BACK BARSTOOL (COUNTER HEIGHT) 17"" x 21"" x 24"" SH",FIN-WFT-FLY-BST-17X21,17,21,24,$800.00,
Taylor,"TAYLOR BARSTOOL (BAR HEIGHT) 19"" x 23"" x 30"" SH",FIN-TAY-BST-19X23,19,23,30,$855.00,
Taylor,"TAYLOR BARSTOOL (COUNTER HEIGHT) 19"" x 23"" x 24"" SH",FIN-TAY-BST-19X23,19,23,24,$825.00,
Taylor,"TAYLOR BARSTOOL w/ARMS (BAR HEIGHT) 24"" x 23"" x 30"" SH",FIN-TAY-BST-24X23,24,23,30,$955.00,
Taylor,"TAYLOR CHAIR w/ARMS (DINING HEIGHT) 24"" x 23"" x 18"" SH",FIN-TAY-DIN-CHA-24X23,24,23,18,$895.00,
Bravada,"BRAVADA OTTOMAN 22"" x 30"" x 16""",FIN-BRV-OTT-22X30,22,30,16,$750.00,
Bravada,"BRAVADA OTTOMAN 22"" x 42"" x 16""",FIN-BRV-OTT-22X42,22,42,16,$850.00,
Bravada,"BRAVADA OTTOMAN 22"" x 60"" x 16""",FIN-BRV-OTT-22X60,22,60,16,$980.00,
Bravada,"BRAVADA OTTOMAN 22"" x 72"" x 16""",FIN-BRV-OTT-22X72,22,72,16,"$1,180.00",
Ocean,"OCEAN OTTOMAN 30"" x 22"" x 16""",FIN-OCN-OTT-30X22,30,22,16,$780.00,
Bravada,"BRAVADA 60"" ROUND SWING 72"" x 12"" SH",FIN-BRV-SWG-72X12,72,12,60'',"$3,120.00",
Bravada,"BRAVADA SWING 66"" x 42"" x 23"" BH",FIN-BRV-SWG-66X42,66,42,23,"$3,900.00",
Bravada,"BRAVADA SWING 72"" x 42"" x 23"" BH",FIN-BRV-SWG-72X42,72,42,23,"$4,400.00",
Bravada,"BRAVADA SWING 96"" x 32"" x 23"" BH",FIN-BRV-SWG-96X32,96,32,23,"$5,400.00",
Cabana,"SQUARE PILLOW 17"" X 17""",FIN-CAB-MIS-17X17,17,17,,$65.00,
Cabana,"SQUARE PILLOW 23"" X 23""",FIN-CAB-MIS-23X23,23,23,,$95.00,
Cabana,"LUMBAR PILLOW 12"" X 24""",FIN-CAB-MIS-12X24,12,24,,$65.00,
Miscellaneous,KINDLE LIVING HEATER (Allison),FIN-KIN-MIS,,,,"$4,995.00",
Miscellaneous,KINDLE LIVING LAMP (Allison),FIN-KIN-MIS,,,,"$4,975.00",
Tenjam,"LAYLO LOUNGER, NO RISERS",FIN-TJM-MIS,,,,$599.99,
Tenjam,"LAYLO LOUNGER W/4"" RISERS",FIN-TJM-MIS,,,,$729.99,
Tenjam,FREELO CHAIR SPLASH,FIN-TJM-CHA,,,,$499.99,
Tenjam,"TWO SHAYZ LOUNGERS FOR 5"" DEPTH",FIN-TJM-MIS,,,,"$1,599.99",
Tenjam,MOON CHAIR W/CUP HOLDERS,FIN-TJM-CHA,,,,$749.99,
Tenjam,TWO WOOSAH CHAIRS,FIN-TJM-MIS,,,,"$1,759.99",
Tenjam,Ripple Table,FIN-TJM-TAB,,,,$464.99,
Marina,LIDO UMBRELLA,FIN-MLN-UMB,,,,$950.00,
Miscellaneous,CANTILEVER UMBRELLA w/BASE,FIN-CAN-UMB,,,,"$5,500.00",
Bravada,BRAVADA SWIVEL CHAIR W/DEKTON SIDEARM,FIN-BRV-SWV-CHA,,,,"$2,880.00",
Bravada,"BRAVADA MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,48,34,31,"$2,520.00",
Bravada,"BRAVADA ARMLESS SOFA 34"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-34X34,34,34,31,"$2,040.00",
