Material SKU,Category (Fabric/Powder/Dekton),Material Name,Cost Per Unit,UOM,Weight
FAB-ACT-ASH,Fabric,ACTION ASH,,yd,
FAB-ACT-STO,Fabric,ACTION STONE,,yd,
FAB-ADA-IND,Fabric,ADAPTATION INDIGO,,yd,
FAB-ADA-STO,Fabric,ADAPTATION STONE,,yd,
FAB-ADE-CEL,Fabric,ADENA CELESTE,,yd,
FAB-AGR-IND,Fabric,AGRA INDIGO,,yd,
FAB-ARI-DEW,Fabric,ARIANA DEW,,yd,
FAB-ARR-CAL,Fabric,ARRAY CALYPSO,,yd,
FAB-ARR-CAR,Fabric,ARRAY CARIBBEAN,,yd,
FAB-ARR-DUN,Fabric,ARRAY DUNE,,yd,
FAB-ASC-SPA,Fabric,ASCEND SPA,,yd,
FAB-ASC-TRO,Fabric,ASCEND TROPICAL,,yd,
FAB-ASS-IITEA,Fabric,ASSEMBLE II TEAK,,yd,
FAB-ASS-SAN,Fabric,ASSEMBLE SAND,,yd,
FAB-AUT-PEB,Fabric,AUTHENTIC PEBBLE,,yd,
FAB-BEA-BEA,Fabric,BEACON,,yd,
FAB-BEA-ULT,Fabric,BEACON ULTRALEATHER,,yd,
FAB-BER-TUX,Fabric,BERENSON TUXEDO,,yd,
FAB-BLE-IND,Fabric,BLEND INDIGO,,yd,
FAB-BLE-LIN,Fabric,BLEND LINEN,,yd,
FAB-BLE-MIS,Fabric,BLEND MIST,,yd,
FAB-BLE-SAN,Fabric,BLEND SAND,,yd,
FAB-BLI-ALO,Fabric,BLISS ALOE,,yd,
FAB-BLI-ASP,Fabric,BLISS ASPEN,,yd,
FAB-BLI-CLA,Fabric,BLISS CLAY,,yd,
FAB-BLI-DEW,Fabric,BLISS DEW,,yd,
FAB-BLI-GUA,Fabric,BLISS GUAVA,,yd,
FAB-BLI-LEM,Fabric,BLISS LEMON,,yd,
FAB-BLI-LIN,Fabric,BLISS LINEN,,yd,
FAB-BLI-SAN,Fabric,BLISS SAND,,yd,
FAB-BLI-SMO,Fabric,BLISS SMOKE,,yd,
FAB-BOR-IND,Fabric,BORO INDIGO,,yd,
FAB-BRA-RED,Fabric,BRANNON REDWOOD,,yd,
FAB-BRA-WHI,Fabric,BRANNON WHISPER,,yd,
FAB-BUN-ULT,Fabric,BUNGALOW ULTRALEATHER,,yd,
FAB-CAB-CLA,Fabric,CABANA CLASSIC,,yd,
FAB-CAL-LAU,Fabric,CALM LAUREL,,yd,
FAB-CAN-ABB,Fabric,CANVAS ABBYS,,yd,
FAB-CAN-AIRBLU,Fabric,CANVAS AIR BLUE,,yd,
FAB-CAN-ANTBEI,Fabric,CANVAS ANTIQUE BEIGE,,yd,
FAB-CAN-BIREYE,Fabric,CANVAS BIRD EYE,,yd,
FAB-CAN-BLA,Fabric,CANVAS BLACK,,yd,
FAB-CAN-CAN,Fabric,CANVAS CANVAS,,yd,
FAB-CAN-CAP,Fabric,CANVAS CAPRI,,yd,
FAB-CAN-CHA,Fabric,CANVAS CHARCOAL,,yd,
FAB-CAN-CHE,Fabric,CANVAS CHESTNUT,,yd,
