SOW Product Name,Canonical SKU,Collection,Length,Depth,Height,Arm Height,Sit Height,Base Weight,MSRP,Allowed Option Categories
BRAVADA SWIVEL CHAIR W/DEKTON SIDEARM,FIN-BRV-SWV-CHA,Bravada,,,,,,,"$2,880.00",
"BRAVADA MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,Bravada,48,34,31,24'',18'',,"$2,520.00",
"BRAVADA ARMLESS SOFA 34"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-34X34,Bravada,34,34,31,,,,"$2,040.00",Fabric|Powder|Pillow
"BRAVADA OVERSIZED CHAISE 72"" x 42"" x 31"" BH",FIN-BRV-OVS-CHS-72X42,Bravada,72,42,31,,18'',,"$3,720.00",
"BRAVADA OVERSIZED CHAISE 84"" x 42"" x 31"" BH",FIN-BRV-OVS-CHS-84X42,Bravada,84,42,31,,18'',,"$4,200.00",
"BROOKLYN SOFA 60"" x 34"" x 30"" BH",FIN-BRK-SOF-60X34,Brooklyn,60,34,30,,17'',,"$3,360.00",Fabric|Powder|Pillow
"BROOKLYN SOFA 72"" x 34"" x 30"" BH",FIN-BRK-SOF-72X34,Brooklyn,72,34,30,,17'',,"$3,840.00",Fabric|Powder|Pillow
"BROOKLYN SOFA 84"" x 34"" x 30"" BH",FIN-BRK-SOF-84X34,Brooklyn,84,34,30,,17'',,"$4,200.00",Fabric|Powder|Pillow
"BROOKLYN SOFA 96"" x 34"" x 30"" BH",FIN-BRK-SOF-96X34,Brooklyn,96,34,30,,17'',,"$4,800.00",Fabric|Powder|Pillow
"BROOKLYN CORNER SOFA 72"" x 34"" x 30"" BH",FIN-BRK-COR-SOF-72X34,Brooklyn,72,34,30,,17'',,"$3,720.00",Fabric|Powder|Pillow
"BROOKLYN CORNER SOFA 84"" x 34"" x 30"" BH",FIN-BRK-COR-SOF-84X34,Brooklyn,84,34,30,,17'',,"$4,200.00",Fabric|Powder|Pillow
