Original Name,Canonical Hub SKU,MSRP
"BRAVADA CLUB CHAIR 34"" x 34"" x 31"" BH",FIN-BRV-CLB-CHA-34X34,"$2,080.00"
"BRAVADA SWIVEL CHAIR 34"" x 34"" x 31"" BH",FIN-BRV-SWV-CHA-34X34,"$2,580.00"
"BRAVADA LOVESEAT 60"" x 34"" x 31"" BH",FIN-BRV-LOV-SOF-60X34,"$2,750.00"
"BRAVADA MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,"$2,520.00"
"BRAVADA SOFA 72"" x 34"" x 31"" BH",FIN-BRV-SOF-72X34,"$3,360.00"
"BRAVADA SOFA 84"" x 34"" x 31"" BH",FIN-BRV-SOF-84X34,"$3,840.00"
"BRAVADA SOFA 96"" x 34"" x 31"" BH",FIN-BRV-SOF-96X34,"$4,080.00"
"BRAVADA ARMLESS SOFA 72"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-72X34,"$2,880.00"
"BRAVADA ARMLESS MINI LOVESEAT 48"" x 34"" x 31"" BH",FIN-BRV-MIN-LOV-48X34,"$2,320.00"
"BRAVADA ARMLESS SOFA 72"" x 34""  x 31"" BH",FIN-BRV-ARM-SOF-72X34,"$3,360.00"
"BRAVADA ARMLESS SOFA 84"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-84X34,"$3,840.00"
"BRAVADA ARMLESS SOFA 96"" x 34"" x 31"" BH",FIN-BRV-ARM-SOF-96X34,"$4,080.00"
"BRAVADA CORNER SOFA 72"" x 34"" x 31"" BH",FIN-BRV-COR-SOF-72X34,"$3,750.00"
"BRAVADA CORNER SOFA 84"" x 34"" x 31"" BH",FIN-BRV-COR-SOF-84X34,"$3,950.00"
"BRAVADA CORNER SOFA 96"" x 34"" x 31"" BH",FIN-BRV-COR-SOF-96X34,"$4,200.00"
"BRAVADA CORNER CHAISE 72"" x 34"" X 31"" BH",FIN-BRV-COR-CHS-72X34,"$3,600.00"
"BRAVADA CORNER CHAISE 84"" x 34"" x 31"" BH",FIN-BRV-COR-CHS-84X34,"$3,800.00"
"BRAVADA SINGLE CHAISE LOUNGE 30"" x 79"" x 14"" SH",FIN-BRV-SGL-CHS-30X79,"$2,460.00"
"BRAVADA DOUBLE CHAISE LOUNGE 58"" x 79"" x 14"" SH",FIN-BRV-DOU-CHS-58X79,"$3,720.00"
"BRAVADA ROUND DAYBED 84"" DIAMETER",FIN-BRV-DYB-84,"$7,280.00"
"BRAVADA DAYBED 72"" x 72"" x 27"" BH",FIN-BRV-DYB-78X72,"$6,480.00"
"BRAVADA DAYBED 84"" x 72"" x 27"" BH",FIN-BRV-DYB-78X78,"$6,720.00"
"BRAVADA DAYBED 84"" x 84"" x 27"" BH",FIN-BRV-DYB-84X78,"$7,080.00"
"BROOKLYN SINGLE CHAISE LOUNGE 38"" x 79"" x 11"" SH",FIN-BRK-SGL-CHS-38X79,"$2,940.00"
"BROOKLYN TRANSITIONAL DOUBLE CHAISE 48"" x 72"" x 30"" BH",FIN-BRK-TRA-DOU-CHS-48X72,"$4,080.00"
"BROOKLYN TRANSITIONAL SINGLE CHAISE 36"" x 72"" x 30"" BH",FIN-BRK-TRA-SGL-CHS-36X72,"$3,720.00"
"BROOKLYN DOUBLE CHAISE LOUNGE 58"" x 79"" x 11"" SH",FIN-BRK-DOU-CHS-58X79,"$4,200.00"
"OCEAN CLUB CHAIR w/METAL ARM 34"" x 38"" x 33"" BH",FIN-OCN-CLB-CHA-34X38,"$2,280.00"
"OCEAN SWIVEL CHAIR 34"" x 38"" x 33"" BH",FIN-OCN-SWV-CHA-34X34,"$2,780.00"
"OCEAN SOFA 72"" x 38"" x 33"" BH",FIN-OCN-SOF-72X38,"$3,600.00"
"OCEAN SOFA 84"" x 38"" x 33"" BH",FIN-OCN-SOF-84X38,"$3,960.00"
"OCEAN SOFA 96"" x 38"" x 33"" BH",FIN-OCN-SOF-96X38,"$4,440.00"
"OCEAN MINI LOVESEAT 48"" x 38"" x 33"" BH",FIN-OCN-MIN-LOV-60X48,"$2,540.00"
"OCEAN LOVESEAT 60"" x 38"" x 33"" BH",FIN-OCN-LOV-SOF-60X38,"$3,140.00"
"OCEAN SINGLE CHAISE LOUNGE 36"" x 79"" x 14"" SH",FIN-OCN-SGL-CHS-36X79,"$2,550.00"
"OCEAN DOUBLE CHAISE LOUNGE 58"" x 79"" x 14"" SH",FIN-OCN-DOU-CHS-58X79,"$3,850.00"
"MILAN CLUB CHAIR 32"" x 36"" x 16"" SH",FIN-MLN-CLB-CHA-32X36,"$2,400.00"
"MILAN OTTOMAN 22"" x 60"" x 16""",FIN-MLN-OTT-22X60,"$1,280.00"
"MILAN OTTOMAN 22"" x 72"" x 16""",FIN-MLN-OTT-22X72,"$1,500.00"
"MILAN OTTOMAN 34"" x 60"" x 16""",FIN-MLN-OTT-34X60,"$1,850.00"
"MILAN OTTOMAN 56""x 42"" x 16""",FIN-MLN-OTT-56X42,"$2,040.00"
"MILAN ONE-SIDED SOFA 72"" X 36"" x 16"" SH",FIN-MLN-SOF-72X36,"$4,030.00"
"MILAN ONE SIDED SOFA 84"" X 36"" X 16"" SH",FIN-MLN-SOF-84X36,"$4,400.00"
"MILAN ONE-SIDED SOFA 96"" X 36"" X 16"" SH",FIN-MLN-SOF-96X36,"$5,040.00"
"MILAN DOUBLE-SIDED SOFA 60"" X 62"" X 16"" SH",FIN-MLN-SOF-60X62,"$5,420.00"
"MILAN T-SHAPED SOFA 62"" X 42"" X 22"" X 16"" SH",FIN-MLN-SOF-62X42,"$5,700.00"
"OCEAN ROUND SIDE TABLE 36"" x 17""",FIN-OCN-SID-TAB-36X36,"$1,150.00"
"BRAVADA COFFEE TABLE 28"" x 42"" x 17""",FIN-BRV-COF-TAB-42X28,"$2,280.00"
"BRAVADA COFFEE TABLE 36"" x 36"" x 17""",FIN-BRV-COF-TAB-36X36,"$2,280.00"
"BRAVADA COFFEE TABLE 36"" x 56"" x 17""",FIN-BRV-COF-TAB-56X36,"$3,000.00"
"BRAVADA COFFEE TABLE 42"" x 42"" x 17""",FIN-BRV-COF-TAB-42X42,"$2,880.00"
"BRAVADA COFFEE TABLE 42"" x 56"" x 17""",FIN-BRV-COF-TAB-56X42,"$3,120.00"
